user	age	country	long	lat	gender	usertype
Predtechensky	27	RU	103.753982544	63.1251869202	m	average
TheKindestDemon	-1				f	rare
Typheem	22	NL	5.52815723419	52.3422584534	m	many
aureawolf666	24	MX	-102.633399963	23.9090938568	f	average
caitxastrophicx	19	US	-98.9573364258	39.4432563782	f	average
Angel_Guti	-1				n	average
LiamJSullivan	-1				n	rare
TheBardess	22	US	-98.9573364258	39.4432563782	n	rare
pocketrichy	-1				n	rare
xiaoyi01	-1				n	rare
AND4ever	-1	SE	16.7980594635	62.6749725342	m	average
Squire2468	-1				n	rare
brunomars21	-1				n	rare
aaro0023	-1				n	rare
don_don_89	23	UK	-2.21251177788	54.5608863831	f	average
lolothebuch	-1				n	rare
insanetc	21	DE	10.3822031021	51.2024650574	m	power
Gordoun	-1				n	rare
MonsterMagnus	32	SE	16.7980594635	62.6749725342	m	rare
carmstrong556	-1				n	rare
bramvanoort	25	NL	5.52815723419	52.3422584534	n	average
f_lanfranchi	-1				n	rare
flamerr86	-1				n	rare
poppareilly	-1				n	rare
xelsai	-1				n	rare
xJon96x	-1	UK	-2.21251177788	54.5608863831	m	rare
allmag	-1				m	rare
max2style	-1				n	rare
jzitelman1	-1				n	rare
Assie23	-1	RU	103.753982544	63.1251869202	m	many
all2aller	19	IT	12.4938230515	42.7669792175	m	average
Freilina	21	LT	23.870923996	55.3387184143	f	average
takusuch7	25	JP	139.077270508	36.2816467285	m	average
pep31	-1				n	rare
Bodb_Digr	29	UA	31.4757823944	48.9265632629	m	average
MotokoQ	20				m	many
Dreitol	-1	NL	5.52815723419	52.3422584534	m	rare
MarcoGozer	18	NL	5.52815723419	52.3422584534	m	many
gioriva	24	IT	12.4938230515	42.7669792175	m	rare
krusar	-1				n	rare
Phantom1305	17	RU	103.753982544	63.1251869202	m	average
oscarmed151	-1				n	rare
dudeskater123	-1				n	rare
Beitzel27	-1				n	rare
chuckarlund	-1				n	rare
fox3x	32	US	-98.9573364258	39.4432563782	m	rare
aalliyah1	-1				n	rare
sorchino	26	IT	12.4938230515	42.7669792175	m	average
saahiltyagi	-1				n	rare
e1_che	25	RU	103.753982544	63.1251869202	m	rare
Nasya123	-1				n	rare
Braindead69	-1				n	average
guigasss	-1				n	rare
pantomash	24	PL	19.3777599335	52.1478500366	m	average
bonozodrum	-1				n	rare
lazaruszs	-1				n	rare
puertopino1	-1				n	rare
Individualite	22	US	-98.9573364258	39.4432563782	m	average
daMatta_	20	BR	-52.9731178284	-10.8104515076	f	rare
zuboskalovi	-1				n	rare
BeckerJMB	-1				n	rare
ABmen83	-1				n	rare
dcosand	-1				n	rare
nieznana	22	PL	19.3777599335	52.1478500366	f	average
Amonalda	-1	DE	10.3822031021	51.2024650574	m	rare
FlammeDesLebens	-1	CH	8.22285461426	46.8037986755	f	rare
Caparrosa	16				n	average
Mayev-	-1				n	rare
beckmatthew	-1				n	rare
GPaciello	19	BR	-52.9731178284	-10.8104515076	m	average
Cibaka	-1	RU	103.753982544	63.1251869202	m	rare
kap00ch	-1				n	average
alex_ra	-1	AE	54.5366439819	23.6847763062	m	many
da-id	-1				m	rare
Guevara71	-1				n	rare
Serjharper	-1	UA	31.4757823944	48.9265632629	m	average
jorislast16	16	NL	5.52815723419	52.3422584534	m	rare
geto_svodnik	28	HR	15.734503746	45.4443054199	m	average
okowoko	21				f	average
lamoeee	-1				n	average
inthewhite	27	PL	19.3777599335	52.1478500366	f	rare
